STATUS | wrapper  | 2016/05/14 11:24:36 | --> Wrapper Started as Console
INFO   | jvm 1    | 2016/05/14 14:13:31 | [2016-05-14 14:13:31,125][INFO][org.projectodd.wunderboss.web.Web] Registered web context /
INFO   | jvm 1    | 2016/05/14 14:13:31 | [2016-05-14 14:13:31,125][INFO][web.core] #'web.config/env started
INFO   | jvm 1    | 2016/05/14 14:13:31 | [2016-05-14 14:13:31,125][INFO][web.core] #'web.handler/init-app started
INFO   | jvm 1    | 2016/05/14 14:13:31 | [2016-05-14 14:13:31,125][INFO][web.core] #'web.core/http-server started
INFO   | jvm 1    | 2016/05/14 14:13:31 | [2016-05-14 14:13:31,125][INFO][web.core] #'web.core/repl-server started
INFO   | jvm 1    | 2016/05/14 14:13:31 | [2016-05-14 14:13:31,125][INFO][web.core] #'web.core/log started
STATUS | wrapperm | 2016/05/14 14:13:54 | Service is running.  Stopping it...
INFO   | jvm 1    | 2016/05/14 14:13:55 | [2016-05-14 14:13:55,156][INFO][luminus.http-server] HTTP server stopped
INFO   | jvm 1    | 2016/05/14 14:13:55 | [2016-05-14 14:13:55,156][INFO][web.env] 
INFO   | jvm 1    | 2016/05/14 14:13:55 | -=[web has shutdown successfully]=-
INFO   | jvm 1    | 2016/05/14 14:13:55 | [2016-05-14 14:13:55,156][INFO][web.core] #'web.core/repl-server stopped
INFO   | jvm 1    | 2016/05/14 14:13:55 | [2016-05-14 14:13:55,156][INFO][web.core] #'web.core/http-server stopped
INFO   | jvm 1    | 2016/05/14 14:13:55 | [2016-05-14 14:13:55,156][INFO][web.core] #'web.handler/init-app stopped
STATUS | wrapper  | 2016/05/14 14:13:55 | <-- Wrapper Stopped
STATUS | wrapperm | 2016/05/14 14:13:56 | webtest service stopped.
STATUS | wrapperm | 2016/05/14 14:13:56 | webtest service removed.
